group,home_team,away_team,date,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
H,Arábia Saudita,Uruguai,15/06,11.683,26.434,61.883,15.072,21.218,15.564,7.52,2.855,6.805,9.541,6.94,3.464,1.272,1.592,2.232,1.677,0.832,0.284,0.259,0.375,0.268,0.133,0.06,0.042,0.054,0.032,0.013,0.011
I,Noruega,Senegal,22/06,47.145,24.006,28.849,5.746,6.919,4.323,1.848,0.595,9.067,11.065,6.67,2.947,0.995,7.328,9.226,5.644,2.309,0.787,4.213,5.031,3.213,1.316,0.435,1.771,2.231,1.432,0.609,0.216
J,Argélia,Áustria,27/06,26.836,26.214,46.95,8.759,12.291,8.666,4.249,1.674,8.559,12.106,8.868,4.296,1.661,4.499,6.231,4.468,2.231,0.785,1.637,2.238,1.532,0.804,0.3,0.417,0.576,0.445,0.207,0.071
K,Uzbequistão,Colômbia,17/06,13.575,22.582,63.843,9.251,15.78,13.422,8.017,3.802,6.025,9.989,8.734,5.062,2.348,1.902,3.385,2.928,1.662,0.796,0.447,0.692,0.669,0.371,0.191,0.072,0.133,0.106,0.071,0.041
L,Croácia,Gana,27/06,70.909,18.015,11.076,5.712,4.165,1.45,0.35,0.06,11.936,8.43,2.984,0.718,0.146,13.042,8.942,3.221,0.823,0.15,9.37,6.594,2.421,0.607,0.12,5.385,3.71,1.316,0.35,0.044
A,Coreia do Sul,Tchéquia,11/06,45.235,23.798,30.967,5.191,6.669,4.48,2.026,0.721,8.452,10.815,7.171,3.237,1.122,6.761,8.802,5.978,2.691,0.941,3.822,5.092,3.329,1.575,0.505,1.7,2.16,1.433,0.629,0.221
B,Suíça,Bósnia e Herzegovina,18/06,72.043,17.08,10.877,4.753,3.521,1.342,0.376,0.065,10.257,7.806,3.129,0.84,0.155,11.951,9.01,3.691,0.951,0.213,9.257,7.123,2.901,0.726,0.161,5.468,4.363,1.678,0.463,0.096
C,Marrocos,Haiti,24/06,83.834,12.088,4.078,5.454,2.06,0.456,0.06,0.007,13.408,5.195,1.101,0.154,0.013,16.644,6.567,1.287,0.182,0.02,14.321,5.421,1.106,0.137,0.016,9.217,3.671,0.738,0.095,0.015
D,Austrália,Turquia,13/06,46.75,25.366,27.884,7.637,8.125,4.479,1.65,0.498,11.318,11.901,6.568,2.521,0.73,8.488,8.801,4.805,1.877,0.551,4.306,4.52,2.47,0.913,0.263,1.638,1.755,0.976,0.362,0.099
E,Equador,Curaçao,20/06,72.199,20.673,7.128,11.784,4.402,0.847,0.12,0.016,20.32,7.504,1.362,0.179,0.026,17.857,6.519,1.282,0.146,0.016,10.88,4.011,0.765,0.099,0.008,5.135,1.861,0.366,0.047,0.004
F,Japão,Suécia,25/06,67.993,17.331,14.676,3.23,3.315,1.67,0.611,0.172,7.554,7.677,3.985,1.451,0.428,8.784,9.054,4.759,1.644,0.488,7.316,7.424,3.903,1.365,0.414,4.639,4.657,2.368,0.908,0.261
G,Nova Zelândia,Egito,21/06,26.921,28.977,44.102,12.434,14.74,9.206,3.889,1.184,10.97,12.713,7.668,3.257,1.059,4.81,5.605,3.347,1.431,0.462,1.444,1.737,1.021,0.445,0.157,0.326,0.389,0.222,0.112,0.036
H,Uruguai,Cabo Verde,21/06,70.303,21.099,8.598,10.742,4.652,1.158,0.176,0.025,18.469,8.448,1.922,0.296,0.045,16.542,7.504,1.719,0.262,0.033,10.15,4.646,1.102,0.181,0.016,4.718,2.111,0.506,0.081,0.009
I,Senegal,Iraque,26/06,57.142,24.936,17.922,10.165,7.379,2.803,0.699,0.13,15.572,11.064,4.346,1.079,0.256,12.033,8.905,3.242,0.856,0.183,6.382,4.661,1.717,0.428,0.087,2.599,2.014,0.618,0.184,0.035
J,Áustria,Jordânia,16/06,60.117,21.417,18.466,5.742,5.421,2.619,0.832,0.223,10.719,10.002,4.819,1.641,0.38,10.242,9.651,4.542,1.531,0.373,6.619,6.175,3.028,0.981,0.256,3.343,3.144,1.493,0.522,0.141
K,Colômbia,República Democrática do Congo,23/06,66.597,22.288,11.115,10.266,5.606,1.482,0.3,0.044,17.264,9.456,2.544,0.495,0.053,15.168,8.214,2.29,0.451,0.068,8.988,4.695,1.394,0.26,0.039,3.977,2.198,0.652,0.133,0.014
L,Panamá,Croácia,23/06,15.193,20.118,64.689,5.848,11.485,11.482,7.824,4.085,4.937,9.443,9.585,6.441,3.325,2.216,4.038,3.987,2.749,1.409,0.604,1.143,1.236,0.761,0.382,0.14,0.262,0.255,0.18,0.074
A,Tchéquia,África do Sul,18/06,42.196,25.74,32.064,7.321,8.803,5.235,2.042,0.729,10.234,12.036,7.161,2.982,0.931,7.158,8.491,5.152,2.203,0.758,3.623,4.259,2.446,1.085,0.315,1.336,1.566,0.936,0.373,0.136
B,Bósnia e Herzegovina,Catar,24/06,44.175,24.963,30.862,6.672,7.823,4.92,2.126,0.634,9.893,11.674,7.102,2.992,0.92,7.181,8.873,5.328,2.221,0.75,3.932,4.471,2.784,1.133,0.383,1.516,1.775,1.098,0.487,0.146
C,Haiti,Escócia,13/06,12.186,17.306,70.508,4.421,9.822,11.309,8.669,5.17,3.719,8.077,9.327,6.99,4.306,1.58,3.419,3.802,2.942,1.817,0.46,0.983,1.058,0.874,0.518,0.089,0.234,0.266,0.191,0.12
D,Turquia,Paraguai,19/06,34.802,28.275,36.923,10.043,11.494,6.767,2.914,0.934,11.056,13.036,7.367,3.135,0.939,6.246,7.376,4.426,1.747,0.544,2.484,2.776,1.758,0.698,0.178,0.756,0.874,0.476,0.223,0.072
E,Curaçao,Costa do Marfim,25/06,19.303,26.607,54.09,11.133,15.896,11.467,5.826,2.211,8.364,11.739,8.387,4.263,1.65,3.034,4.409,3.259,1.583,0.601,0.772,1.108,0.841,0.445,0.145,0.158,0.247,0.164,0.08,0.028
F,Suécia,Tunísia,14/06,40.973,26.586,32.441,8.325,9.464,5.548,2.272,0.71,10.746,12.276,7.222,2.771,0.863,7.289,8.366,4.953,1.95,0.576,3.356,3.784,2.299,0.92,0.258,1.193,1.363,0.812,0.307,0.104
G,Irã,Nova Zelândia,15/06,46.837,25.61,27.553,8.016,8.494,4.422,1.671,0.474,11.609,11.851,6.367,2.321,0.693,8.467,8.709,4.789,1.775,0.509,4.332,4.421,2.305,0.854,0.227,1.752,1.755,0.913,0.324,0.091
H,Cabo Verde,Arábia Saudita,26/06,28.934,30.454,40.612,13.835,15.096,8.371,3.19,0.954,12.071,12.957,7.181,2.636,0.805,5.319,5.866,3.266,1.23,0.372,1.607,1.737,0.946,0.369,0.121,0.394,0.422,0.249,0.098,0.027
I,Iraque,Noruega,16/06,12.015,17.494,70.491,4.574,10.321,11.514,9.036,5.151,3.789,8.222,9.15,7.037,4.161,1.582,3.385,3.763,2.898,1.738,0.449,0.939,1.022,0.832,0.463,0.089,0.186,0.212,0.182,0.093
J,Jordânia,Argélia,22/06,27.036,23.947,49.017,5.929,9.821,8.075,4.574,1.982,6.896,11.179,9.176,5.187,2.213,4.003,6.537,5.484,3.022,1.303,1.7,2.633,2.158,1.175,0.539,0.524,0.747,0.641,0.37,0.163
K,República Democrática do Congo,Uzbequistão,27/06,28.161,36.379,35.46,22.243,17.833,7.514,2.075,0.509,15.122,12.257,4.937,1.472,0.323,5.349,4.227,1.75,0.48,0.11,1.311,1.066,0.432,0.127,0.028,0.238,0.195,0.082,0.025,0.002
L,Gana,Panamá,17/06,29.544,24.258,46.198,5.858,9.125,7.523,4.137,1.701,7.231,11.149,8.989,4.948,1.996,4.452,6.896,5.787,3.036,1.372,1.881,2.911,2.41,1.278,0.551,0.62,0.92,0.808,0.388,0.167
