home_team,away_team,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
Coreia do Sul,Bósnia e Herzegovina,53.419,23.329,23.252,6.058,6.475,3.492,1.27,0.351,10.348,10.91,5.746,2.108,0.594,9.069,9.398,5.108,1.841,0.518,5.406,5.656,2.997,1.092,0.309,2.531,2.618,1.311,0.442,0.149
Coreia do Sul,Brasil,12.833,18.257,68.91,4.826,10.35,11.36,8.59,4.867,3.953,8.611,9.165,7.052,4.077,1.683,3.535,3.842,2.965,1.641,0.465,1.065,1.16,0.853,0.493,0.099,0.238,0.239,0.199,0.108
Coreia do Sul,Marrocos,13.129,22.918,63.953,9.744,16.262,13.984,8.139,3.71,5.934,9.98,8.533,5.02,2.295,1.866,3.238,2.796,1.616,0.677,0.381,0.683,0.599,0.37,0.15,0.073,0.118,0.12,0.063,0.026
Coreia do Sul,Escócia,32.427,24.06,43.513,5.517,8.458,6.711,3.59,1.513,7.164,11.074,8.811,4.751,1.985,4.869,7.347,5.81,3.165,1.308,2.24,3.304,2.652,1.423,0.569,0.758,1.237,0.958,0.545,0.217
Coreia do Sul,Haiti,66.402,18.694,14.904,4.26,3.963,1.902,0.613,0.16,9.186,8.529,4.067,1.389,0.346,9.94,9.415,4.622,1.482,0.362,7.515,6.933,3.499,1.109,0.286,4.382,4.059,1.988,0.64,0.157
Coreia do Sul,EUA,33.799,24.194,42.007,5.346,8.148,6.322,3.401,1.385,7.11,11.126,8.487,4.687,2.06,5.023,7.498,5.978,3.207,1.272,2.419,3.542,2.916,1.491,0.586,0.902,1.338,0.989,0.559,0.227
Coreia do Sul,Austrália,23.754,24.38,51.866,7.376,11.557,9.456,5.199,2.178,7.205,11.215,9.235,5.106,2.204,3.724,5.853,4.716,2.584,1.114,1.275,2.018,1.667,0.968,0.386,0.356,0.523,0.435,0.249,0.101
Coreia do Sul,Paraguai,30.499,27.526,41.975,9.867,12.402,7.898,3.493,1.175,10.254,12.642,8.141,3.613,1.208,5.312,6.611,4.265,1.876,0.659,1.978,2.364,1.599,0.683,0.246,0.526,0.735,0.416,0.201,0.063
Coreia do Sul,Turquia,32.737,23.624,43.639,4.882,7.735,6.307,3.493,1.571,6.512,10.607,8.748,5.004,2.188,4.498,7.532,6.117,3.353,1.502,2.287,3.525,2.956,1.732,0.682,0.823,1.273,1.11,0.611,0.26
Coreia do Sul,Alemanha,12.277,15.873,71.85,2.997,7.328,9.452,8.128,5.331,2.762,7.11,8.841,7.825,5.028,1.513,3.45,4.287,3.622,2.445,0.5,1.135,1.466,1.231,0.845,0.12,0.29,0.403,0.296,0.229
