group,home_team,away_team,date,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
L,Croatia,Panama,Data não encontrada,6.051,6.004,3.139,1.12,0.29,10.678,10.565,5.234,1.919,0.511,9.7,9.519,4.72,1.716,0.423,6.142,5.902,2.933,1.041,0.273,2.79,2.699,1.37,0.482,0.13
A,South Korea,Czech Republic,Data não encontrada,6.111,7.087,4.277,1.644,0.537,9.52,11.127,6.6,2.794,0.834,8.038,8.965,5.278,2.159,0.702,4.536,5.112,2.977,1.216,0.398,2.019,2.194,1.297,0.501,0.141
B,Qatar,Switzerland,Data não encontrada,2.522,6.765,9.751,9.632,7.126,1.987,5.606,7.798,7.592,5.764,0.87,2.345,3.341,3.194,2.373,0.233,0.696,0.918,0.942,0.71,0.055,0.123,0.263,0.212,0.138
C,Haiti,Scotland,Data não encontrada,4.969,10.079,10.783,8.014,4.647,4.11,8.577,9.339,6.911,3.987,1.81,3.885,4.109,3.005,1.761,0.509,1.131,1.263,0.921,0.542,0.134,0.272,0.316,0.192,0.108
D,Australia,Turkey,Data não encontrada,8.195,8.087,3.838,1.375,0.372,12.095,11.867,6.008,2.117,0.546,9.361,8.9,4.561,1.588,0.421,4.759,4.664,2.292,0.794,0.246,1.96,1.762,0.976,0.324,0.096
E,Ivory Coast,Ecuador,Data não encontrada,24.409,23.777,12.02,4.11,1.205,10.039,9.856,5.005,1.781,0.478,2.127,2.158,1.052,0.383,0.098,0.333,0.321,0.144,0.053,0.019,0.034,0.036,0.018,0.006,0.0
F,Sweden,Tunisia,Data não encontrada,6.049,7.944,5.368,2.547,0.943,8.537,11.348,7.863,3.73,1.314,6.16,8.391,5.589,2.73,0.932,3.099,4.267,2.899,1.335,0.487,1.207,1.711,1.126,0.525,0.198
G,Iran,New Zealand,Data não encontrada,11.583,9.404,3.981,1.199,0.287,14.911,11.941,5.152,1.489,0.344,10.243,8.154,3.414,0.978,0.264,4.818,3.828,1.628,0.473,0.113,1.787,1.402,0.608,0.17,0.035
H,Saudi Arabia,Uruguay,Data não encontrada,14.189,20.768,15.38,7.936,3.163,6.713,9.6,6.958,3.606,1.394,1.59,2.251,1.655,0.891,0.383,0.266,0.416,0.29,0.152,0.052,0.025,0.041,0.039,0.018,0.007
I,Iraq,Norway,Data não encontrada,4.899,10.145,11.016,8.006,4.58,4.136,8.805,9.264,6.9,3.865,1.827,3.745,4.119,3.005,1.703,0.553,1.121,1.244,0.941,0.527,0.124,0.317,0.306,0.213,0.126
J,Austria,Jordan,Data não encontrada,6.25,6.393,3.367,1.137,0.303,10.741,10.734,5.441,1.958,0.562,9.517,9.341,4.766,1.763,0.487,5.76,5.578,2.948,1.031,0.301,2.647,2.522,1.316,0.479,0.124
K,Uzbekistan,Colombia,Data não encontrada,10.733,15.759,12.137,6.481,2.697,7.452,11.04,8.652,4.664,1.925,2.705,4.078,3.017,1.59,0.661,0.663,1.005,0.747,0.435,0.188,0.139,0.204,0.174,0.058,0.038
L,Ghana,Panama,Data não encontrada,6.362,10.181,7.675,4.142,1.724,7.502,11.543,9.072,4.79,2.022,4.495,6.774,5.202,2.819,1.219,1.823,2.689,2.192,1.17,0.461,0.587,0.885,0.688,0.365,0.154
