group,home_team,away_team,date,one_zero,two_zero,three_zero,four_zero,four_one,two_one,three_one,three_two,four_two,four_three,zero_zero,one_one,two_two,three_three,four_four,zero_one,zero_two,zero_three,zero_four,one_two,one_three,one_four,two_three,two_four,three_four,home_real,away_real
H,Espanha,Cabo Verde,15/06,12.4605,16.8515,14.8454,9.8085,4.3365,7.4504,6.5634,1.4509,0.9586,0.1413,5.1173,5.9301,1.647,0.2138,0.0156,1.8414,0.4716,0.0695,0.0077,1.2464,0.1837,0.0203,0.2427,0.0268,0.0236,,
H,Arábia Saudita,Uruguai,15/06,7.3201,1.5719,0.2106,0.0212,0.0262,1.9441,0.2605,0.1611,0.0162,0.0067,19.9576,10.1737,1.2022,0.0664,0.0021,23.5622,14.8801,6.1344,1.8967,5.9814,2.4659,0.7624,0.4956,0.1532,0.0205,,
H,Uruguai,Cabo Verde,21/06,21.7505,16.0832,7.752,2.8023,1.2039,6.9093,3.3302,0.7153,0.2586,0.037,15.8793,10.0514,1.4841,0.1024,0.004,6.1141,1.4196,0.2033,0.0218,2.0527,0.2939,0.0316,0.2125,0.0228,0.011,,
H,Cabo Verde,Arábia Saudita,26/06,14.3257,5.9924,1.5955,0.3186,0.2784,5.2363,1.3942,0.6091,0.1216,0.0354,19.4645,13.7905,2.2878,0.1774,0.0077,15.7362,7.172,2.089,0.4564,5.7286,1.6686,0.3645,0.6664,0.1456,0.0388,,
I,França,Senegal,16/06,14.9078,10.6556,4.8649,1.6659,1.3468,8.6149,3.9332,1.59,0.5444,0.1467,12.0113,13.231,3.4825,0.4285,0.0297,8.5328,3.7127,1.0005,0.2022,5.0852,1.3704,0.277,0.9385,0.1897,0.0866,,
I,Noruega,França,26/06,7.5395,4.1797,1.4241,0.3639,0.549,6.3059,2.1485,1.6207,0.4141,0.2083,8.6404,12.9777,4.7568,0.815,0.0786,11.4326,9.1061,4.5794,1.7272,9.3076,4.6807,1.7654,2.3921,0.9022,0.3074,,
I,França,Iraque,22/06,16.6174,17.162,11.5269,5.8066,2.7455,8.1148,5.4503,1.2885,0.6491,0.1023,8.8712,8.4716,1.9185,0.2031,0.0121,3.5802,0.945,0.1489,0.0176,1.9042,0.3001,0.0355,0.3024,0.0357,0.024,,
I,Noruega,Senegal,22/06,11.7214,7.5997,3.1033,0.9504,1.0144,8.1113,3.3122,1.7676,0.5413,0.1926,10.8139,13.9283,4.3286,0.6289,0.0514,10.124,5.7688,2.0524,0.5476,7.067,2.5142,0.6709,1.54,0.4109,0.1678,,
I,Senegal,Iraque,26/06,18.9392,13.907,6.6081,2.3549,1.3345,7.8811,3.7448,1.0611,0.3781,0.0714,14.2605,11.63,2.2331,0.2004,0.0101,7.1842,2.1979,0.4152,0.0588,3.1331,0.5918,0.0838,0.4218,0.0598,0.0284,,
I,Iraque,Noruega,16/06,5.0535,1.7396,0.362,0.0565,0.1018,3.135,0.6523,0.5878,0.0917,0.0551,9.4494,10.5649,2.8249,0.3531,0.0248,15.5718,14.5003,8.7107,3.9245,9.0512,5.4373,2.4497,1.697,0.7646,0.1591,,
J,Argentina,Áustria,22/06,18.6093,16.0986,9.0441,3.8107,1.904,8.0433,4.5187,1.1288,0.4756,0.0792,11.8292,10.039,2.0093,0.188,0.0099,5.1689,1.4147,0.2356,0.0294,2.3844,0.3971,0.0496,0.3346,0.0418,0.0235,,
J,Argentina,Argélia,16/06,17.2463,16.1209,9.7751,4.4455,2.3137,8.3901,5.0875,1.3239,0.6021,0.1045,10.2211,9.7023,2.1833,0.2297,0.0136,4.5932,1.3196,0.2289,0.0298,2.4005,0.4164,0.0542,0.3788,0.0493,0.0299,,
J,Jordânia,Argentina,27/06,1.8399,0.4344,0.0592,0.006,0.0157,1.1282,0.1537,0.1996,0.0204,0.0177,5.4883,5.808,1.4653,0.1728,0.0115,13.2271,17.5503,15.1958,9.8679,7.1717,6.2096,4.0324,1.2687,0.8239,0.1122,,
J,Argélia,Áustria,27/06,10.0464,6.3208,2.4835,0.7319,0.8938,7.7198,3.0332,1.8523,0.5458,0.2222,9.7769,13.7769,4.7143,0.7541,0.0679,10.434,6.786,2.7626,0.8435,7.9988,3.2564,0.9943,1.9192,0.586,0.2302,,
J,Áustria,Jordânia,16/06,11.6136,10.6368,6.1834,2.6959,2.4951,9.8443,5.7227,2.6482,1.1546,0.3562,7.5792,11.8741,4.5554,0.817,0.0824,5.8887,2.9956,0.9241,0.2138,5.2242,1.6116,0.3729,1.4053,0.3252,0.189,,
J,Jordânia,Argélia,22/06,5.4803,3.0215,1.0061,0.2512,0.4564,5.489,1.8277,1.6601,0.4146,0.2511,6.6252,11.5591,4.9858,1.0053,0.114,10.4327,9.9933,6.0515,2.7484,9.9825,6.0449,2.7454,3.0192,1.3712,0.4566,,
K,Colômbia,Portugal,27/06,9.9818,6.6217,2.7438,0.8527,1.0379,8.0599,3.3398,2.0326,0.6317,0.2563,9.2415,13.6389,4.9053,0.8247,0.078,9.7598,6.3485,2.5758,0.7838,7.8919,3.202,0.9744,1.9902,0.6056,0.251,,
K,Portugal,Uzbequistão,23/06,17.6429,14.261,7.4496,2.9186,1.726,8.4337,4.4055,1.3027,0.5104,0.1006,12.1713,11.3208,2.4938,0.2568,0.0149,6.3108,2.0309,0.4003,0.0592,3.1826,0.6274,0.0928,0.4916,0.0727,0.038,,
K,Portugal,República Democrática do Congo,17/06,19.0444,14.6019,7.254,2.7027,1.4673,7.9273,3.9381,1.069,0.3983,0.0721,13.6991,11.1891,2.1518,0.1934,0.0098,6.5871,1.9376,0.3506,0.0476,2.8877,0.5226,0.0709,0.3894,0.0529,0.0263,,
K,Uzbequistão,Colômbia,17/06,6.5043,1.9769,0.3691,0.0517,0.0784,2.9969,0.5596,0.4242,0.0594,0.03,13.1552,11.2546,2.2716,0.2143,0.0114,18.5485,14.4795,7.3168,2.773,8.1107,4.0985,1.5533,1.1479,0.435,0.0812,,
K,Colômbia,República Democrática do Congo,23/06,19.9213,14.7531,7.0898,2.5554,1.314,7.5864,3.6458,0.9374,0.3378,0.0579,14.7411,11.0693,1.9505,0.1607,0.0074,6.7549,1.8769,0.3217,0.0414,2.7059,0.4638,0.0596,0.3343,0.043,0.0207,,
K,República Democrática do Congo,Uzbequistão,27/06,16.5905,5.6941,1.2566,0.208,0.1426,3.9054,0.8618,0.2956,0.0489,0.0112,26.5932,12.4088,1.3393,0.0676,0.0019,17.209,6.111,1.3971,0.2395,4.0458,0.9249,0.1586,0.3062,0.0525,0.0116,,
L,Inglaterra,Croácia,17/06,16.737,10.843,4.5072,1.4052,1.0187,7.8605,3.2675,1.1844,0.3692,0.0892,14.5978,13.2595,2.8492,0.2862,0.0162,9.4563,3.6643,0.8855,0.1605,4.5695,1.1042,0.2001,0.6885,0.1248,0.0519,,
L,Inglaterra,Gana,23/06,16.7271,18.1113,12.789,6.7731,2.8438,7.6044,5.3697,1.1273,0.597,0.0836,8.4434,7.5512,1.5964,0.1578,0.0088,3.0172,0.7115,0.0996,0.0105,1.5072,0.2109,0.0221,0.2234,0.0235,0.0166,,
L,Panamá,Inglaterra,27/06,2.6507,0.6815,0.103,0.0117,0.0267,1.5603,0.2357,0.2698,0.0306,0.0233,6.9917,7.2416,1.7861,0.2059,0.0134,14.8339,17.3886,13.2699,7.5951,7.8813,6.0145,3.4424,1.363,0.7801,0.1179,,
L,Croácia,Gana,27/06,16.0388,14.7146,8.7174,3.8733,2.3471,8.9165,5.2824,1.6005,0.7111,0.1436,9.8363,10.5534,2.7015,0.3233,0.0218,5.1259,1.7105,0.3455,0.0523,3.04,0.614,0.093,0.5457,0.0827,0.049,,
L,Panamá,Croácia,23/06,4.5498,1.6524,0.3603,0.0589,0.1132,3.1739,0.692,0.6646,0.1087,0.0696,8.2264,10.207,3.0482,0.4255,0.0334,14.3331,14.2479,9.1223,4.3804,9.3199,5.9671,2.8654,1.9516,0.9372,0.2043,,
L,Gana,Panamá,17/06,11.3687,6.7098,2.4881,0.692,0.7689,7.4559,2.7648,1.5361,0.4272,0.1582,11.5376,14.0984,4.1424,0.569,0.044,11.3549,6.6944,2.4796,0.6888,7.4473,2.7585,0.7663,1.5343,0.4262,0.1581,,
